6	7	10.8	7.8	27
11	26	4.6	17.4	41
4	23	6.6	8.5	22
1	24	2.6	14.1	47
7	17	-0.5	21.0	64
4	18	-3.0	9.3	81
12	29	11.2	5.7	41
10	19	-2.0	24.3	78
6	5	-5.1	15.4	69
11	30	9.8	13.8	65
8	4	13.0	11.2	31
4	15	-1.7	21.9	37
9	14	-1.9	8.6	65
2	9	3.8	7.2	86
9	3	1.0	5.5	98
11	5	5.6	18.0	50
9	13	-8.0	7.0	50
4	7	-3.8	11.7	39
8	24	-7.7	14.3	53
8	1	11.2	18.5	72
4	13	-9.1	11.6	53
11	28	11.0	10.2	49
3	20	0.6	13.2	50
10	6	10.7	13.0	75
9	17	-8.2	19.9	58
5	2	1.4	9.2	74
10	14	4.9	20.1	97
11	13	5.1	22.4	81
10	11	-7.4	26.8	39
4	4	-9.0	13.0	67
10	14	10.1	6.3	98
6	20	-1.2	19.4	90
11	27	-6.5	16.8	25
5	16	0.5	10.2	89
5	18	9.0	14.2	52
2	19	-3.2	16.1	84
4	29	-2.7	12.7	34
12	1	6.6	25.9	34
4	11	-2.0	8.1	78
8	26	8.5	24.6	99
4	22	6.4	27.0	50
6	10	-4.9	22.2	68
11	7	-6.0	25.2	33
2	3	2.9	19.5	88
5	14	-7.8	9.4	54
7	6	3.2	15.9	84
11	18	-7.5	8.7	29
12	26	12.8	14.1	95
6	12	-3.1	19.6	63
4	8	8.7	23.9	50
6	30	11.4	6.2	67
10	7	-3.0	25.6	68
9	25	-3.1	24.5	56
11	16	-9.5	14.6	36
2	1	11.5	18.5	58
11	11	4.7	26.7	89
2	6	-7.4	13.4	58
3	25	3.3	21.4	92
11	29	-2.3	23.0	73
4	30	8.1	22.8	55
9	30	6.3	11.7	29
7	20	10.2	20.4	95
10	30	9.5	20.2	77
9	24	10.2	8.7	55
11	13	7.4	20.1	69
3	9	5.8	26.8	56
12	8	-9.8	11.7	45
9	16	-6.8	5.0	56
6	4	-3.9	11.0	43
3	30	4.1	6.2	32
3	2	12.7	13.9	28
4	5	0.5	5.4	96
8	7	1.8	15.1	61
7	15	1.1	10.5	66
9	29	1.1	14.7	24
7	2	-2.7	10.8	69
1	6	1.2	9.4	48
11	2	-2.8	26.9	89
5	30	-10.8	17.0	89
9	14	-0.3	13.1	85
11	25	6.5	21.0	74
3	14	-2.1	19.7	79
10	11	-2.1	8.9	23
11	10	12.6	9.7	34
8	21	4.5	12.1	71
7	28	-0.8	18.3	45
11	28	11.2	6.5	82
7	22	4.9	24.8	78
8	25	9.1	9.3	25
12	5	3.2	12.6	45
2	16	-1.2	13.2	49
6	27	-9.0	18.8	74
3	12	-9.5	7.4	95
8	15	-9.8	11.5	87
12	31	-6.7	25.0	67
6	24	8.4	12.4	97
7	24	-6.0	18.1	69
7	24	-1.7	12.4	59
5	5	-6.6	16.6	30
1	3	-1.9	16.2	51
0	0
